name,salary_from,salary_to,salary_currency,area_name,published_at
Оператор станков с ПУ (токарно-фрезерная группа),50000,100000,RUR,Новосибирск,2022-12-21T04:34:50+0300
Начинающий программист 1С,40000,80000,RUR,Владивосток,2022-12-21T05:27:00+0300
Токарь-расточник,50000,,RUR,Новосибирск,2022-12-21T05:14:52+0300
Наладчик технологического оборудования / механик / слесарь,45000,,RUR,Новосибирск,2022-12-21T04:23:27+0300
Программист 1C,90000,,RUR,Красноярск,2022-12-21T05:39:12+0300
Оператор лазерной установки с числовым программным управлением,70000,,RUR,Барнаул,2022-12-21T04:59:33+0300
Мастер ремонтной зоны,70000,,RUR,Новосибирск,2022-12-21T05:09:59+0300
Программист 1С (УДАЛЕННО),60000,,RUR,Томск,2022-12-21T05:16:02+0300
Токарь 4-6 разрядов,38000,48000,RUR,Тюмень,2022-12-21T05:21:20+0300
Помощник аналитика,25000,,RUR,Томск,2022-12-21T05:27:57+0300
Специалист по информационной безопасности,35200,,RUR,Новосибирск,2022-12-21T05:10:05+0300
Механик рефрижераторных установок,45000,45000,RUR,Новокузнецк,2022-12-21T04:36:28+0300
Android - разработчик,,1000000,KZT,Алматы,2022-12-21T05:24:35+0300
Инженер-механик,50000,,RUR,Барнаул,2022-12-21T04:59:20+0300
Сервисный инженер,90000,,RUR,Тюмень,2022-12-21T05:10:00+0300
Системный администратор,50000,,RUR,Красноярск,2022-12-21T04:13:16+0300
Слесарь широкого профиля,40000,,RUR,Красноярск,2022-12-21T04:40:57+0300
DevOps-инженер,130000,,RUR,Барнаул,2022-12-21T04:59:54+0300
Фрезеровщик 4-6 разряд,38000,48000,RUR,Тюмень,2022-12-21T05:19:08+0300
Оператор листогибочного станка с ЧПУ,47000,,RUR,Хабаровск,2022-12-21T05:37:12+0300
Руководитель проекта,50000,150000,RUR,Красноярск,2022-12-21T04:51:30+0300
Фрезеровщик,35000,90000,RUR,Каменск-Уральский,2022-12-21T05:32:36+0300
Программист баз данных (Data Engineer),70000,,RUR,Благовещенск (Амурская область),2022-12-21T05:37:16+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,50000,,RUR,Свободный,2022-12-21T04:35:27+0300
Токарь,40000,,RUR,Барнаул,2022-12-21T04:20:33+0300
"Мастер сервисного центра (сборка, ремонт спортинвентаря) Ким ю Чена 44ж",41000,,RUR,Хабаровск,2022-12-21T04:00:33+0300
Специалист-стажер группы технического сопровождения,25000,25000,RUR,Красноярск,2022-12-21T04:59:35+0300
Токарь-фрезеровщик,30000,,RUR,Иркутск,2022-12-21T05:10:00+0300
Выездной мастер по установке техники,40000,60000,RUR,Иркутск,2022-12-21T05:29:50+0300
Ученик по ремонту и обслуживанию бытовой техники,50000,,RUR,Новосибирск,2022-12-21T05:14:45+0300
Ведущий системный администратор,50000,50000,RUR,Новосибирск,2022-12-21T05:10:11+0300
Главный специалист,54000,,RUR,Екатеринбург,2022-12-21T05:10:15+0300
Токарь-универсал,50000,70000,RUR,Новосибирск,2022-12-21T04:35:16+0300
Механик / Автослесарь по ремонту техники,35000,50000,RUR,Екатеринбург,2022-12-21T05:10:00+0300
Инженер систем АПС и СОУЭ (автоматической пожарной сигнализации и систем оповещения и управления эв,300000,,KZT,Астана,2022-12-21T05:11:24+0300
Мастер по ремонту транспорта,40000,40001,RUR,Новосибирск,2022-12-21T05:27:14+0300
Токарь,35000,90000,RUR,Каменск-Уральский,2022-12-21T05:32:37+0300
Механик (ТО),50000,,RUR,Иркутск,2022-12-21T04:26:12+0300
Автор работ по механике,,100000,RUR,Санкт-Петербург,2022-12-21T05:19:55+0300
Руководитель отдела планирования и маркетинга,500000,,KZT,Караганда,2022-12-21T05:54:05+0300
Мастер по ремонту оргтехники и заправке картриджей,50000,55000,RUR,Иркутск,2022-12-21T05:09:58+0300
Сервисный инженер,80000,,RUR,Владивосток,2022-12-21T05:09:59+0300
Инженер-электронщик по ремонту станков с ЧПУ,60000,,RUR,Кемерово,2022-12-21T05:30:01+0300
Менеджер по приемке товара,46000,,RUR,Владивосток,2022-12-21T05:10:16+0300
Программист 1С,80000,80000,RUR,Красноярск,2022-12-21T04:59:54+0300
Сервисный инженер (сельскохозяйственная техника),80000,,RUR,Кемерово,2022-12-21T05:55:25+0300
Слесарь-электромонтажник,40000,,RUR,Красноярск,2022-12-21T04:40:43+0300
Младший специалист по закупкам (Категорийный менеджер),55000,65000,RUR,Владивосток,2022-12-21T05:10:14+0300
Фрезеровщик,30000,30000,RUR,Новосибирск,2022-12-21T05:27:14+0300
Сервисный инженер на грузовую технику,80000,,RUR,Екатеринбург,2022-12-21T05:09:59+0300
Фрезеровщик,50000,,RUR,Новосибирск,2022-12-21T04:34:59+0300
Ведущий специалист (Бизнес-аналитик в ИТ сфере),50000,,RUR,Екатеринбург,2022-12-21T05:10:15+0300
Наладчик оборудования,35000,35000,RUR,Кемерово,2022-12-21T04:08:56+0300
Программист 1С,110000,,RUR,Владивосток,2022-12-21T04:31:31+0300
Автор работ по механике,,100000,RUR,Москва,2022-12-21T05:19:55+0300
Главный механик (Дизельные электростанции),50000,,RUR,Красноярск,2022-12-21T05:32:48+0300
Администратор программы 1C 8,45000,,RUR,Абакан,2022-12-21T04:57:08+0300
Электромеханик связи (техник связи),39000,39000,RUR,Новосибирск,2022-12-21T04:20:13+0300
Токарь-фрезеровщик,40000,,RUR,Красноярск,2022-12-21T04:37:58+0300
Электромеханик,55000,55000,RUR,Прокопьевск,2022-12-21T04:37:00+0300
Токарь-карусельщик,70000,,RUR,Новосибирск,2022-12-21T04:34:55+0300
Теплотехник,75000,85000,RUR,Новосибирск,2022-12-21T05:33:46+0300
Middle iOS Developer,120000,200000,RUR,Новосибирск,2022-12-21T05:22:57+0300
Долбежник,35000,90000,RUR,Каменск-Уральский,2022-12-21T05:32:37+0300
Четвертый механик,115000,,RUR,Благовещенск (Амурская область),2022-12-21T04:41:37+0300
Токарь-шлифовщик,50000,,RUR,Улан-Удэ,2022-12-21T04:10:05+0300
Теплотехник на кирпичный завод,85000,90000,RUR,Новосибирск,2022-12-21T05:33:42+0300
"Главный специалист отдела информационных технологий (Программист 1C ERP), Якутия",,120000,RUR,Киров (Кировская область),2022-12-21T04:41:10+0300
Менеджер (специалист) технической поддержки GPS/ГЛОНАСС систем,40000,,RUR,Новокузнецк,2022-12-21T05:09:59+0300
Фрезеровщик,45000,,RUR,Красноярск,2022-12-21T04:38:04+0300
Механик по ремонту грузоподъемных механизмов,50000,55000,RUR,Красноярск,2022-12-21T04:36:50+0300
Автор работ по механике,,100000,RUR,Ростов-на-Дону,2022-12-21T05:19:55+0300
Главный механик,55000,55000,RUR,Кемерово,2022-12-21T04:09:19+0300
Мастер по ремонту холодильников (ученик),100000,150000,RUR,Новосибирск,2022-12-21T05:14:49+0300
Автор работ по механике,,100000,RUR,Самара,2022-12-21T05:19:55+0300
Автор работ по механике,,100000,RUR,Казань,2022-12-21T05:19:55+0300
Автор работ по механике,,100000,RUR,Екатеринбург,2022-12-21T05:19:55+0300
Программист 1С,80000,80000,RUR,Новосибирск,2022-12-21T04:20:14+0300
Автор работ по механике,,100000,RUR,Челябинск,2022-12-21T05:19:55+0300
"Оператор станков с ЧПУ 3,4 разряда (Токарная группа)",33000,42000,RUR,Омск,2022-12-21T05:46:51+0300
